Item_Name,Category,Price_Tier,Base_Price_₹,ABC_Class,Total_Revenue_₹,Transaction_Count,Median_Daily_Qty,Demand_Class,Elasticity_Coefficient,Elasticity_Class,Elasticity_Group,Segment,Peak_Time_Slot,Rain_Boost_Flag
Triple Decker Sandwich,Sandwiches Burgers Wraps,Mid-range,285,A,12255,37,1.0,High Demand,8.8889,Highly Elastic,High Elasticity,Dynamic Pricing Target,Evening,False
Jalapeño Cheese Fondue,Fondue,Premium,695,A,11815,14,1.0,High Demand,3.3333,Highly Elastic,High Elasticity,Dynamic Pricing Target,Dinner,False
Chocolate Walnut Brownie,Dessert,Mid-range,200,A,11800,52,1.0,High Demand,6.6667,Highly Elastic,High Elasticity,Dynamic Pricing Target,Dinner,False
Chocolate Waffwich,Pancakes & Waffwich,Mid-range,285,A,10545,30,1.0,High Demand,28.3333,Highly Elastic,High Elasticity,Dynamic Pricing Target,Evening,False
Pesto Penne,Pasta,Mid-range,399,A,10374,19,1.0,High Demand,73.3333,Highly Elastic,High Elasticity,Dynamic Pricing Target,Dinner,False
Cheese Lovers Pizza,Pizza,Premium,635,A,10160,16,1.0,High Demand,13.3333,Highly Elastic,High Elasticity,Dynamic Pricing Target,Dinner,False
Tiramisu,Dessert,Mid-range,300,A,9600,31,1.0,High Demand,2.2222,Highly Elastic,High Elasticity,Dynamic Pricing Target,Evening,True
The Dominator Burger,Sandwiches Burgers Wraps,Mid-range,369,A,9594,23,1.0,High Demand,5.5556,Highly Elastic,High Elasticity,Dynamic Pricing Target,Evening,False
Thai Curry Red,Blended Full Meals,Mid-range,399,A,9576,19,1.0,High Demand,10.0,Highly Elastic,High Elasticity,Dynamic Pricing Target,Dinner,False
Soy Ramen Bowl,Large Soup Bowls,Mid-range,349,A,9423,20,2.0,High Demand,3.3333,Highly Elastic,High Elasticity,Dynamic Pricing Target,Dinner,True
Honey Ginger Lime Tea,Hot Beverages,Budget,170,A,9350,48,1.0,High Demand,4.2857,Highly Elastic,High Elasticity,Dynamic Pricing Target,Dinner,False
Grilled Ghost Pepper Fish,Blended Full Meals,Premium,569,A,9104,14,1.0,High Demand,26.6667,Highly Elastic,High Elasticity,Dynamic Pricing Target,Dinner,False
Spaghetti Arabiatta,Pasta,Mid-range,369,A,8856,19,1.0,High Demand,20.0,Highly Elastic,High Elasticity,Dynamic Pricing Target,Dinner,False
Cajun Chicken,Blended Full Meals,Premium,589,A,8835,14,1.0,High Demand,33.3333,Highly Elastic,High Elasticity,Dynamic Pricing Target,Dinner,False
Carbonara,Pasta,Premium,450,A,8550,16,1.0,High Demand,13.3333,Highly Elastic,High Elasticity,Dynamic Pricing Target,Dinner,False
Pesto Omelette,Classic Eggs,Mid-range,285,A,8550,26,1.0,High Demand,4.0,Highly Elastic,High Elasticity,Dynamic Pricing Target,Evening,False
Lotus Biscoff Shake,Premium Shakes,Mid-range,400,A,8400,18,1.0,High Demand,8.3333,Highly Elastic,High Elasticity,Dynamic Pricing Target,Evening,False
Mushroom Parma Omelette,Classic Eggs,Mid-range,279,A,8370,23,1.0,High Demand,100.0,Highly Elastic,High Elasticity,Dynamic Pricing Target,Evening,False
Pesto Cottage Cheese Meal,Blended Full Meals,Premium,409,A,8180,16,1.0,High Demand,6.6667,Highly Elastic,High Elasticity,Dynamic Pricing Target,Dinner,False
Californian Fries,Share-A-Plate,Mid-range,215,A,8170,32,1.0,High Demand,10.0,Highly Elastic,High Elasticity,Dynamic Pricing Target,Evening,False
Grilled Chicken Burger,Sandwiches Burgers Wraps,Mid-range,220,A,7920,30,1.0,High Demand,21.6667,Highly Elastic,High Elasticity,Dynamic Pricing Target,Evening,False
Spaghetti Aglio Olio,Pasta,Mid-range,385,A,7700,18,1.0,High Demand,33.3333,Highly Elastic,High Elasticity,Dynamic Pricing Target,Dinner,False
Virgin Mojito,Mocktails,Budget,140,A,7700,45,1.0,High Demand,5.4167,Highly Elastic,High Elasticity,Dynamic Pricing Target,Dinner,False
Chili Garlic Chicken Dumplings,Steam Basket,Mid-range,375,A,7500,18,1.0,High Demand,2.5,Highly Elastic,High Elasticity,Dynamic Pricing Target,Dinner,False
Salted Caramel Mocha,Hot Brews,Mid-range,200,A,7400,32,1.0,High Demand,10.0,Highly Elastic,High Elasticity,Dynamic Pricing Target,Evening,False
Fish Fillet Burger,Sandwiches Burgers Wraps,Mid-range,350,A,7350,21,1.0,High Demand,13.3333,Highly Elastic,High Elasticity,Dynamic Pricing Target,Evening,False
Butter Garlic Prawns,Share-A-Plate,Premium,559,A,7267,10,1.0,High Demand,26.6667,Highly Elastic,High Elasticity,Dynamic Pricing Target,Dinner,False
Minty Cookie Cappuccino,Hot Brews,Budget,190,A,7220,33,1.0,High Demand,6.6667,Highly Elastic,High Elasticity,Dynamic Pricing Target,Dinner,False
Marshmallow Hot Chocolate,Hot Chocolate,Mid-range,200,A,7200,31,1.0,High Demand,3.0303,Highly Elastic,High Elasticity,Dynamic Pricing Target,Evening,True
Oreo Shake,Premium Shakes,Mid-range,240,A,7200,25,1.0,High Demand,8.3333,Highly Elastic,High Elasticity,Dynamic Pricing Target,Evening,False
Iced Café Latte,Cold Brews,Budget,160,A,7040,33,2.0,High Demand,86.6667,Highly Elastic,High Elasticity,Dynamic Pricing Target,Evening,False
Mix Veg Dumplings,Steam Basket,Mid-range,249,A,6972,23,1.0,High Demand,6.6667,Highly Elastic,High Elasticity,Dynamic Pricing Target,Dinner,False
Salted Fries,Share-A-Plate,Budget,149,A,6854,38,1.0,High Demand,4.4444,Highly Elastic,High Elasticity,Dynamic Pricing Target,Evening,False
Affogato,Hot Brews,Budget,170,A,6800,35,1.0,High Demand,3.3333,Highly Elastic,High Elasticity,Dynamic Pricing Target,Dinner,False
Exotic Chicken Taco,Blended Full Meals,Premium,565,A,6780,11,1.0,High Demand,3.3333,Highly Elastic,High Elasticity,Dynamic Pricing Target,Dinner,False
ABC Juice (Apple Beetroot Carrot),Cold Press Juices,Mid-range,250,A,6750,22,1.0,High Demand,36.6667,Highly Elastic,High Elasticity,Dynamic Pricing Target,Morning,False
Chicken And Cheese Balls,Share-A-Plate,Mid-range,375,A,6750,15,1.0,High Demand,13.3333,Highly Elastic,High Elasticity,Dynamic Pricing Target,Dinner,False
Dark Hot Chocolate,Hot Chocolate,Budget,120,A,6720,45,1.0,High Demand,2.5926,Highly Elastic,High Elasticity,Dynamic Pricing Target,Evening,True
