Transaction_ID,Date,Item_Name,Category,Time_Slot,Day_Type,Weather_State,Base_Price_₹,Recommended_Price_₹,Quantity_Units,Static_Revenue_₹,Dynamic_Revenue_₹,Revenue_Difference_₹,Direction,Demand_Verdict,Review_Flag
4148,2024-07-16,Masala Chai,Hot Beverages,Morning,Weekday,Heavy Rain,120,120,1,120,120,0,HOLD,NORMAL,OK
4149,2024-07-16,Akuri On Toast,Classic Eggs,Morning,Weekday,Heavy Rain,125,125,1,125,125,0,HOLD,LOW,OK
4150,2024-07-16,Caprese Bruschetta,Share-A-Plate,Dinner,Weekday,Heavy Rain,325,360,1,325,360,35,INCREASE,HIGH,OK
4151,2024-07-16,Tres Leches Cake,Dessert,Dinner,Weekday,Heavy Rain,215,215,2,430,430,0,HOLD,NORMAL,OK
4152,2024-07-16,Kaopoon Ramen Bowl,Large Soup Bowls,Dinner,Weekday,Heavy Rain,409,435,1,409,435,26,INCREASE,HIGH,REVIEW_REQUIRED
4153,2024-07-16,Pesto Cottage Cheese Meal,Blended Full Meals,Dinner,Weekday,Heavy Rain,409,410,1,409,410,1,HOLD,NORMAL,REVIEW_REQUIRED
4154,2024-07-16,Chocolate Walnut Brownie,Dessert,Evening,Weekday,Heavy Rain,200,200,1,200,200,0,HOLD,NORMAL,OK
4155,2024-07-16,Grilled Chicken Burger,Sandwiches Burgers Wraps,Evening,Weekday,Heavy Rain,220,220,1,220,220,0,HOLD,NORMAL,OK
4156,2024-07-16,Cajun Cottage-Cheese Burger,Sandwiches Burgers Wraps,Evening,Weekday,Heavy Rain,255,255,1,255,255,0,HOLD,NORMAL,OK
4157,2024-07-16,Creamy Cheesy Hot Corn Bruschetta,Share-A-Plate,Dinner,Weekday,Heavy Rain,230,250,2,460,500,40,INCREASE,HIGH,OK
4158,2024-07-16,Dark Hot Chocolate,Hot Chocolate,Morning,Weekday,Heavy Rain,120,120,1,120,120,0,HOLD,NORMAL,OK
4159,2024-07-16,Hazelnut Hot Chocolate,Hot Chocolate,Morning,Weekday,Heavy Rain,160,160,1,160,160,0,HOLD,NORMAL,OK
4160,2024-07-17,Spaghetti Aglio Olio,Pasta,Dinner,Weekday,Heavy Rain,385,385,1,385,385,0,HOLD,NORMAL,OK
4161,2024-07-17,Mix Veg Double Cheese Burger,Sandwiches Burgers Wraps,Evening,Weekday,Heavy Rain,189,190,2,378,380,2,HOLD,NORMAL,OK
4162,2024-07-17,Veg Toast / Plain Sandwich,Sandwiches Burgers Wraps,Evening,Weekday,Heavy Rain,120,120,1,120,120,0,HOLD,NORMAL,OK
4163,2024-07-17,Veg Puff,Bakery,Evening,Weekday,Heavy Rain,55,55,2,110,110,0,HOLD,NORMAL,OK
4164,2024-07-17,Shawarma,Blended Full Meals,Dinner,Weekday,Heavy Rain,345,345,1,345,345,0,HOLD,NORMAL,OK
4165,2024-07-17,Tomato & Bell Pepper Soup,Soup,Dinner,Weekday,Heavy Rain,149,155,1,149,155,6,INCREASE,HIGH,OK
4166,2024-07-17,Loaded Nachos,Share-A-Plate,Afternoon,Weekday,Heavy Rain,210,210,1,210,210,0,HOLD,NORMAL,OK
4167,2024-07-17,Mexican Panini,Sandwiches Burgers Wraps,Afternoon,Weekday,Heavy Rain,169,170,1,169,170,1,HOLD,NORMAL,OK
4168,2024-07-17,Salted Fries,Share-A-Plate,Evening,Weekday,Heavy Rain,149,150,1,149,150,1,HOLD,NORMAL,OK
4169,2024-07-17,Tres Leches Cake,Dessert,Evening,Weekday,Heavy Rain,215,215,1,215,215,0,HOLD,NORMAL,OK
4170,2024-07-17,Eggs To Order Plain,Classic Eggs,Morning,Weekday,Heavy Rain,135,120,2,270,240,-30,DECREASE,LOW,OK
4171,2024-07-17,Tonkatsu Ramen Bowl,Large Soup Bowls,Dinner,Weekday,Heavy Rain,359,400,1,359,400,41,INCREASE,HIGH,OK
4172,2024-07-17,Chocolate Waffwich,Pancakes & Waffwich,Evening,Weekday,Heavy Rain,285,285,1,285,285,0,HOLD,NORMAL,OK
4173,2024-07-17,Café Latte,Hot Brews,Evening,Weekday,Heavy Rain,160,160,1,160,160,0,HOLD,NORMAL,OK
4174,2024-07-17,Chinese Style Greens Panini,Sandwiches Burgers Wraps,Evening,Weekday,Heavy Rain,155,155,1,155,155,0,HOLD,NORMAL,OK
4175,2024-07-17,Romantic Sunset Mocktail,Mocktails,Evening,Weekday,Heavy Rain,180,180,1,180,180,0,HOLD,NORMAL,OK
4176,2024-07-17,Cubanos,Sandwiches Burgers Wraps,Evening,Weekday,Heavy Rain,250,250,1,250,250,0,HOLD,NORMAL,OK
4177,2024-07-18,Americano,Hot Brews,Morning,Weekday,Clear After Rain,160,160,1,160,160,0,HOLD,NORMAL,OK
4178,2024-07-18,Veg Puff,Bakery,Morning,Weekday,Clear After Rain,55,55,1,55,55,0,HOLD,NORMAL,OK
4179,2024-07-18,Cappuccino,Hot Brews,Morning,Weekday,Clear After Rain,160,160,1,160,160,0,HOLD,NORMAL,OK
4180,2024-07-18,Loaded Nachos,Share-A-Plate,Dinner,Weekday,Clear After Rain,210,220,1,210,220,10,INCREASE,HIGH,OK
4181,2024-07-18,Volcanic Potatoes,Share-A-Plate,Dinner,Weekday,Clear After Rain,199,210,2,398,420,22,INCREASE,HIGH,OK
4182,2024-07-18,Thai BBQ Chicken Satay,Share-A-Plate,Dinner,Weekday,Clear After Rain,355,405,2,710,810,100,INCREASE,HIGH,OK
4183,2024-07-18,Butter Garlic Prawns,Share-A-Plate,Dinner,Weekday,Clear After Rain,559,640,2,1118,1280,162,INCREASE,HIGH,REVIEW_REQUIRED
4184,2024-07-18,Thai Curry Green,Blended Full Meals,Dinner,Weekday,Clear After Rain,395,450,1,395,450,55,INCREASE,HIGH,OK
4185,2024-07-18,Virgin Pina Colada,Mocktails,Dinner,Weekday,Clear After Rain,200,215,1,200,215,15,INCREASE,HIGH,OK
4186,2024-07-18,Thai Curry Red,Blended Full Meals,Dinner,Weekday,Clear After Rain,399,455,1,399,455,56,INCREASE,HIGH,OK
4187,2024-07-18,Veg Puff,Bakery,Afternoon,Weekday,Clear After Rain,55,55,1,55,55,0,HOLD,NORMAL,OK
4188,2024-07-18,Classic BLT,Sandwiches Burgers Wraps,Afternoon,Weekday,Clear After Rain,249,250,1,249,250,1,HOLD,NORMAL,OK
4189,2024-07-18,Café Mocha,Hot Brews,Evening,Weekday,Clear After Rain,170,170,2,340,340,0,HOLD,NORMAL,OK
4190,2024-07-18,Brownie Blast Shake,Premium Shakes,Afternoon,Weekday,Clear After Rain,260,260,2,520,520,0,HOLD,NORMAL,OK
4191,2024-07-18,Pesto Penne,Pasta,Dinner,Weekday,Clear After Rain,399,455,1,399,455,56,INCREASE,HIGH,OK
4192,2024-07-18,Harissa Chicken Skewers,Share-A-Plate,Dinner,Weekday,Clear After Rain,339,385,2,678,770,92,INCREASE,HIGH,OK
4193,2024-07-18,Honey Ginger Lime Tea,Hot Beverages,Dinner,Weekday,Clear After Rain,170,195,1,170,195,25,INCREASE,HIGH,OK
4194,2024-07-18,Salted Caramel Mocha,Hot Brews,Evening,Weekday,Clear After Rain,200,200,1,200,200,0,HOLD,NORMAL,OK
4195,2024-07-18,Triple Chocolate Mousse,Dessert,Evening,Weekday,Clear After Rain,280,280,1,280,280,0,HOLD,NORMAL,OK
4196,2024-07-18,Chili Garlic Chicken Dumplings,Steam Basket,Dinner,Weekday,Clear After Rain,375,415,1,375,415,40,INCREASE,HIGH,OK
4197,2024-07-18,Thai Curry Red,Blended Full Meals,Dinner,Weekday,Clear After Rain,399,455,2,798,910,112,INCREASE,HIGH,OK
4198,2024-07-18,Espresso,Hot Brews,Dinner,Weekday,Clear After Rain,110,115,1,110,115,5,INCREASE,HIGH,OK
4199,2024-07-18,Stuffed Paratha Chicken,Wholesome Breakfast,Morning,Weekday,Clear After Rain,210,210,1,210,210,0,HOLD,NORMAL,OK
4200,2024-07-18,ABCC Juice,Cold Press Juices,Morning,Weekday,Clear After Rain,260,260,1,260,260,0,HOLD,NORMAL,OK
4201,2024-07-18,Chef's Special Pot Rice,Blended Full Meals,Dinner,Weekday,Clear After Rain,499,570,1,499,570,71,INCREASE,HIGH,REVIEW_REQUIRED
4202,2024-07-18,Lotus Biscoff Shake,Premium Shakes,Dinner,Weekday,Clear After Rain,400,455,1,400,455,55,INCREASE,HIGH,OK
4203,2024-07-18,Masala Chai,Hot Beverages,Morning,Weekday,Clear After Rain,120,120,1,120,120,0,HOLD,NORMAL,OK
4204,2024-07-18,Paneer Puff,Bakery,Morning,Weekday,Clear After Rain,85,85,1,85,85,0,HOLD,NORMAL,OK
4205,2024-07-18,Penne Alfredo,Pasta,Dinner,Weekday,Clear After Rain,329,340,1,329,340,11,INCREASE,HIGH,OK
4206,2024-07-18,Jalapeño Cheese Fondue,Fondue,Dinner,Weekday,Clear After Rain,695,790,2,1390,1580,190,INCREASE,HIGH,REVIEW_REQUIRED
4207,2024-07-18,Penne Rose,Pasta,Dinner,Weekday,Clear After Rain,335,350,1,335,350,15,INCREASE,HIGH,OK
4208,2024-07-18,Triple Decker Sandwich,Sandwiches Burgers Wraps,Morning,Weekday,Clear After Rain,285,285,1,285,285,0,HOLD,NORMAL,OK
4209,2024-07-18,Black Tea,Hot Beverages,Morning,Weekday,Clear After Rain,90,90,1,90,90,0,HOLD,NORMAL,OK
4210,2024-07-18,Iced Café Latte,Cold Brews,Morning,Weekday,Clear After Rain,160,160,1,160,160,0,HOLD,NORMAL,OK
4211,2024-07-18,Cheesy Potatoes,Wholesome Breakfast,Morning,Weekday,Clear After Rain,215,215,1,215,215,0,HOLD,NORMAL,OK
4212,2024-07-18,Crème Brulee,Dessert,Dinner,Weekday,Clear After Rain,225,255,1,225,255,30,INCREASE,HIGH,OK
4213,2024-07-18,Spicy Chicken Salad,Salad Bowls,Dinner,Weekday,Clear After Rain,255,290,1,255,290,35,INCREASE,HIGH,OK
4214,2024-07-18,Caprese Bruschetta,Share-A-Plate,Dinner,Weekday,Clear After Rain,325,360,2,650,720,70,INCREASE,HIGH,OK
4215,2024-07-18,Minty Cookie Cappuccino,Hot Brews,Evening,Weekday,Clear After Rain,190,190,1,190,190,0,HOLD,NORMAL,OK
4216,2024-07-18,Grilled Cheese Sandwich,Sandwiches Burgers Wraps,Evening,Weekday,Clear After Rain,199,200,1,199,200,1,HOLD,NORMAL,OK
4217,2024-07-18,Chicken Puff,Bakery,Evening,Weekday,Clear After Rain,100,100,1,100,100,0,HOLD,NORMAL,OK
4218,2024-07-18,Khari,Bakery,Evening,Weekday,Clear After Rain,35,35,2,70,70,0,HOLD,NORMAL,OK
4219,2024-07-18,Oreo Shake,Premium Shakes,Evening,Weekday,Clear After Rain,240,240,2,480,480,0,HOLD,NORMAL,OK
4220,2024-07-18,French Vanilla Shake,Premium Shakes,Evening,Weekday,Clear After Rain,200,200,1,200,200,0,HOLD,NORMAL,OK
4221,2024-07-18,Espresso,Hot Brews,Morning,Weekday,Clear After Rain,110,110,1,110,110,0,HOLD,NORMAL,OK
4222,2024-07-18,Honey Ginger Lime Tea,Hot Beverages,Morning,Weekday,Clear After Rain,170,170,1,170,170,0,HOLD,NORMAL,OK
4223,2024-07-18,French Toast,Wholesome Breakfast,Morning,Weekday,Clear After Rain,210,210,1,210,210,0,HOLD,NORMAL,OK
4224,2024-07-18,Chinese Style Greens Panini,Sandwiches Burgers Wraps,Evening,Weekday,Clear After Rain,155,155,1,155,155,0,HOLD,NORMAL,OK
4225,2024-07-18,Grilled Cheese Sandwich,Sandwiches Burgers Wraps,Evening,Weekday,Clear After Rain,199,200,1,199,200,1,HOLD,NORMAL,OK
