Item_Name,Category,Price_Tier,Total_Revenue_₹,Transaction_Count,Cumulative_Revenue_%,ABC_Class
Burnt Garlic Cheese Fondue,Fondue,Premium,21423,31,2.06,A
Penne Rose,Pasta,Mid-range,12395,29,3.25,A
Triple Decker Sandwich,Sandwiches Burgers Wraps,Mid-range,12255,37,4.43,A
Triple Chocolate Mousse,Dessert,Mid-range,12040,37,5.59,A
Jalapeño Cheese Fondue,Fondue,Premium,11815,14,6.72,A
Chocolate Walnut Brownie,Dessert,Mid-range,11800,52,7.86,A
Chocolate Waffwich,Pancakes & Waffwich,Mid-range,10545,30,8.87,A
Pesto Penne,Pasta,Mid-range,10374,19,9.87,A
Cheese Lovers Pizza,Pizza,Premium,10160,16,10.84,A
Cappuccino,Hot Brews,Budget,10080,50,11.81,A
Tiramisu,Dessert,Mid-range,9600,31,12.73,A
The Dominator Burger,Sandwiches Burgers Wraps,Mid-range,9594,23,13.66,A
Thai Curry Red,Blended Full Meals,Mid-range,9576,19,14.58,A
Pepperoni Chicken Pizza,Pizza,Premium,9503,17,15.49,A
Soy Ramen Bowl,Large Soup Bowls,Mid-range,9423,20,16.4,A
Honey Ginger Lime Tea,Hot Beverages,Budget,9350,48,17.3,A
Grilled Ghost Pepper Fish,Blended Full Meals,Premium,9104,14,18.17,A
Spiced Mocha Latte,Hot Brews,Budget,9000,40,19.04,A
Penne Alfredo,Pasta,Mid-range,8883,23,19.89,A
Spaghetti Arabiatta,Pasta,Mid-range,8856,19,20.74,A
Cajun Chicken,Blended Full Meals,Premium,8835,14,21.59,A
Carbonara,Pasta,Premium,8550,16,22.41,A
Pesto Omelette,Classic Eggs,Mid-range,8550,26,23.23,A
Chimichanga,Blended Full Meals,Mid-range,8415,27,24.04,A
Lotus Biscoff Shake,Premium Shakes,Mid-range,8400,18,24.85,A
Mushroom Parma Omelette,Classic Eggs,Mid-range,8370,23,25.65,A
Loaded Nachos,Share-A-Plate,Mid-range,8190,33,26.44,A
Pesto Cottage Cheese Meal,Blended Full Meals,Premium,8180,16,27.23,A
Californian Fries,Share-A-Plate,Mid-range,8170,32,28.01,A
